team	year	number	position	name	games_played	points	minutes	goals	assists	shots	fouls
Nashville Metros	2012	3	D	Waugh, Christopher	2		118			1	
Nashville Metros	2012	11	F	Winspear, Thomas	15	1	917	0	1	20	5
Northern Virginia Royals	2012		M	Ahmadzai, Haywaad	1		3				
Northern Virginia Royals	2012	20	D	Aitken, David	1		53				1
Northern Virginia Royals	2012	0	GK	Almodovar, Alejandro	3		225				
Northern Virginia Royals	2012	6	F	Asihel, Mulu	6	5	318	2	1	1	4
Northern Virginia Royals	2012	25	F	Bowman, Zachary	15	5	1278	1	3	20	9
Northern Virginia Royals	2012	18	M	Burke, Richard	7	2	536	1	0	6	7
Northern Virginia Royals	2012	26	D	Carter, Alanzo	10	1	900	0	1	2	17
Northern Virginia Royals	2012	23	M	Ciskanik, Sean	8		285	0	0	3	8
Northern Virginia Royals	2012	26	M	Diallo, Moussa	1		90				1
Northern Virginia Royals	2012	10	M	Evans, Tayler	1		12	0	0	0	0
Northern Virginia Royals	2012	16	M	Foglesong, Nathan	15		978	0	0	4	10
Northern Virginia Royals	2012	15	F	Fountain, Christian	6	2	177	1	0	6	6
Northern Virginia Royals	2012	17	M	Gardner, John	2		73	0	0	0	1
Northern Virginia Royals	2012	31	GK	Helmick, Joel	13		1125	0	0	0	0
Northern Virginia Royals	2012	18	M	Henry, Brian	3		73			2	
Northern Virginia Royals	2012	10	D	Hughes, Maurice	5	2	441	1		6	
Northern Virginia Royals	2012	12	F	Kaweesi Katongole, Stanley	15	2	1090	1	0	22	16
Northern Virginia Royals	2012	23	F	Mahmoud, Fadi	9		607	0	0	5	8
Northern Virginia Royals	2012	21	M	Maimone, Christopher	6		174	0	0	1	1
Northern Virginia Royals	2012	11	M	Martinez, Irvin	3		154			3	2
Northern Virginia Royals	2012	9	M	Martinez, Eber	1		10				
Northern Virginia Royals	2012	24	M	McGinley, Myles	10	3	772	1	1	9	10
Northern Virginia Royals	2012	19	D	Mitchell, Scott	12		897	0	0	6	2
Northern Virginia Royals	2012	4	D	Newsome, Laurent	8		630	0	0	4	5
Northern Virginia Royals	2012	13	D	O'Reilly, Sean	16		1406	0	0	21	19
Northern Virginia Royals	2012	28	F	Panknen, Andrew	4	2	69	1	0	1	0
Northern Virginia Royals	2012	8	M	Renfrow, Grady	2		123				
Northern Virginia Royals	2012	26	F	Rudolph, Seth	2	2	54	1		2	
Northern Virginia Royals	2012	15	M	Saul, Christopher	2		68			1	
Northern Virginia Royals	2012	4	D	Shaban, Ronald	4		337	0	0	4	3
Northern Virginia Royals	2012	5	D	Shaban, Abdul	7		265	0	0	2	1
Northern Virginia Royals	2012	2	M	Sheta, Ahmed	16	8	1424	3	2	65	20
Northern Virginia Royals	2012	15	D	St.Amour, Brandon	4		108	0	0	0	1
Northern Virginia Royals	2012	29	F	Thomson, Conor	6	2	393	1	0	13	4
Northern Virginia Royals	2012	1	GK	Valcicak, Daniel	1		90	0	0	0	0
Northern Virginia Royals	2012	14	D	Welsh, Daniel	3		178			1	
Northern Virginia Royals	2012	27	D	Wilkins, Alfred	3		87	0	0	0	1
Northern Virginia Royals	2012	8	M	Youssef, Nikhil	1		4				
Northern Virginia Royals	2012	24	D	Zhu, Kevin	5		328	0	0	0	1
SC United Bantams	2012	1	GK	Beebe, Robert	5		450	0	0	0	0
SC United Bantams	2012	13	F	Cunha, Gustavo	14	2	872	0	2	17	4
SC United Bantams	2012	23	M	Doran, Josh	8		297	0	0	7	2
SC United Bantams	2012	18	D	Freiburger, Ryan	16	2	867	1	0	4	7
SC United Bantams	2012	71	M	Hale, William	1		90	0	0	0	0
SC United Bantams	2012	4	M	Hurst, Ryan	10	4	612	2	0	10	7
SC United Bantams	2012	3	D	Kimber, Jack	15	4	1201	1	2	14	5
SC United Bantams	2012	5	D	Lane, Nick	2		180				2
SC United Bantams	2012	20	F	Lapan, Ethan	1		18				
SC United Bantams	2012	0	GK	Ledgeway, Brendan	9		900	0	0	1	0
SC United Bantams	2012	15	F	Mangotic, Mike	7		388	0	0	2	2
SC United Bantams	2012	16	D	Martinez, Eric	10	2	855	1	0	3	5
SC United Bantams	2012	11	M	Norton, Hunter	12	1	738	0	1	6	8
SC United Bantams	2012	21	D	Norton, Reed	1		90	0	1	1	1
SC United Bantams	2012	6	D	Padula, Billy	4		190				1
SC United Bantams	2012	19	M	Perry, Luke	15	4	1315	2	0	12	6
SC United Bantams	2012	12	D	Ramm, Jamie	16	2	1431	1	0	3	7
SC United Bantams	2012	2	M	Riddle, Hunter	14		577	0	0	3	4
SC United Bantams	2012	10	F	Savage, Austin	14	9	904	4	1	13	3
SC United Bantams	2012	8	M	Seinfeld, Matt	5		174	0	0	2	4
SC United Bantams	2012	9	M	Smith, Mark	12	1	639	0	1	1	5
SC United Bantams	2012	17	F	Squires, Lee	11	3	661	1	1	24	3
SC United Bantams	2012	7	M	Troyer, Braeden	14	4	1018	2	0	9	18
SC United Bantams	2012	14	D	Valikonis, Thomas	15	3	1269	1	1	4	10
Real Maryland Monarchs	2012	4	D	Adewole, Adetomiwa	9	1	729	0	1	2	6
Real Maryland Monarchs	2012	16	D	Aminzadeh, Dallas	4		108	1		1	2
Real Maryland Monarchs	2012	12	D	Andrews, Paul	10		877			4	10
Real Maryland Monarchs	2012	20	M	Ankrah, Daniel	5	2	343	1		7	1
Real Maryland Monarchs	2012	10	M	Arjona, Julio	10	4	860	2		8	9
Real Maryland Monarchs	2012	0	GK	Back, Tyler	3		250	0	0	0	1
Real Maryland Monarchs	2012	5	M	Bermudez, Nicolas	2		130				3
Real Maryland Monarchs	2012	29	F	Brennan, Michael	4		156				2
Real Maryland Monarchs	2012	1	GK	Butcher, Dustin	11		958				
Real Maryland Monarchs	2012	6	D	Clare, Samuel	5		414	0	0	0	10
Real Maryland Monarchs	2012	28	D	Cornago, Emilio	11	2	964	0	2	6	10
Real Maryland Monarchs	2012	0	GK	Cote, Sean	2		122				
Real Maryland Monarchs	2012	3	M	Danza, Josh	2	1	148		1		3
Real Maryland Monarchs	2012	19	D	Dennis, Travis	1		38			1	
Real Maryland Monarchs	2012	22	M	Flott, Alan	6	1	391		1	3	2
Real Maryland Monarchs	2012	8	M	Fochive, George	9	2	590	1	0	6	5
Real Maryland Monarchs	2012	18	M	Forbess, Kaoru	9	4	801		4	11	11
Real Maryland Monarchs	2012	2	D	Griffin, Matthew	3		146	0	0	1	1
Real Maryland Monarchs	2012	27	M	Hendrie, Ian	8		333	0	0	2	4
Real Maryland Monarchs	2012	9	F	Kane, Alassane	8	21	682	9	3	21	15
Real Maryland Monarchs	2012	0	GK	Leader, Joshua	2		110	0	0	0	0
Real Maryland Monarchs	2012	21	D	Lee, Justin	3		263				
Real Maryland Monarchs	2012	23	M	Ndaw, Aboubacarim	16	16	1211	6	4	44	23
Real Maryland Monarchs	2012	11	M	Neuberth, David	15	26	1226	11	4	31	33
Real Maryland Monarchs	2012	13	D	Norton, Ben	2		180	0	0	0	2
Real Maryland Monarchs	2012	30	M	Pato, Pilawp	7	3	330	1	1	3	2
Real Maryland Monarchs	2012	15	F	Runikera, Dennis	7	2	191	0	2	3	6
Real Maryland Monarchs	2012	25	M	Snyder, John	9		635	0	0	2	5
Real Maryland Monarchs	2012	14	D	Sokolow, Jesse	9		790				10
Real Maryland Monarchs	2012	17	D	Tayou, Uzi	9		576			3	8
Real Maryland Monarchs	2012	18	F	Tayou, Franck	3		32				2
Real Maryland Monarchs	2012	7	F	Teixeira, Valdemar	7	2	425	1	0	6	2
Real Maryland Monarchs	2012	21	D	Ventura, Alejandro	2		18				
Real Maryland Monarchs	2012	30	D	Williams, Spencer	6		182				2
Real Maryland Monarchs	2012	24	D	Yormie, Bush	10		655	0	0	2	2
Southern West Virginia King's Warriors	2012	11	M	Angelicola, Nicola	2		48	0	0	0	0
Southern West Virginia King's Warriors	2012	6	M	Bardales, Benjamin	12		320	0	0	1	2
Southern West Virginia King's Warriors	2012	10	M	Callaghan, Michael	5		222	0	0	4	2
Southern West Virginia King's Warriors	2012	13	F	Comvalius, Kevin	2		98				2
Southern West Virginia King's Warriors	2012	16	D	Devlin, Jordan	1		57				2
Southern West Virginia King's Warriors	2012	30	GK	Garcia, Jose	2		180	0	0	0	0
Southern West Virginia King's Warriors	2012	19	F	Hays, Curt	10		367	0	0	3	9
Southern West Virginia King's Warriors	2012	7	M	Johnson, Dean	12		664	0	0	2	2
Southern West Virginia King's Warriors	2012	9	M	Keever, Jason	9	3	348	1	1	7	2
Southern West Virginia King's Warriors	2012	2	D	Knowles-Ramirez, Byron	13		698	0	0	9	13
Southern West Virginia King's Warriors	2012	20	M	Kolemasov, Mikhail	5		177	0	0	0	2
Southern West Virginia King's Warriors	2012	11	M	MBengue, Nago	6	6	287	3	0	12	8
Southern West Virginia King's Warriors	2012	8	M	Martinez, Jorge	11	1	796	0	1	6	5
Southern West Virginia King's Warriors	2012	12	M	May, Todd	1		45			1	
Southern West Virginia King's Warriors	2012	4	M	Mensah, Nana-Yaw	15	4	958	2	0	13	13
Southern West Virginia King's Warriors	2012	5	D	Millage, Stephen	13		1105	0	0	3	6
Southern West Virginia King's Warriors	2012	12	M	Mitchell, Mark	10		410	0	0	9	4
Southern West Virginia King's Warriors	2012	1	GK	Mozzo, Erik	14		1215	0	0	0	1
Southern West Virginia King's Warriors	2012	17	M	Preston, Spencer	8	1	275	0	1	3	8
Southern West Virginia King's Warriors	2012	23	M	Robbins, Carter	16	6	1319	3	0	9	7
Southern West Virginia King's Warriors	2012	22	D	Sherwood, Harry	16	6	1395	3	0	18	26
Southern West Virginia King's Warriors	2012	14	D	Soenksen, Christopher	8		326	0	0	0	1
Southern West Virginia King's Warriors	2012	18	F	Stock, Tony	12	7	794	3	1	18	9
Southern West Virginia King's Warriors	2012	15	D	Summerville, Sean	15	2	1121	1	0	8	10
Southern West Virginia King's Warriors	2012	3	D	Swale, Jonathan	3		120	0	0	0	2
Southern West Virginia King's Warriors	2012	9	M	Tekle, Nahom	9	3	572	0	3	5	3
Southern West Virginia King's Warriors	2012	21	D	Thompson, Logan	10		694	0	0	4	6
Southern West Virginia King's Warriors	2012	10	M	Thompson, Jack	10	5	738	1	3	8	7
Virginia Beach Piranhas	2012	12	D	Acosta, Robert	8	1	497	0	1	2	4
Virginia Beach Piranhas	2012	13	D	Bender, Jonathan	5		162	0	0	0	5
Virginia Beach Piranhas	2012	1	GK	Benham, Tyler	15		1268	0	0	0	0
Virginia Beach Piranhas	2012	2	M	Clare, Douglas	8		369	0	0	4	4
Virginia Beach Piranhas	2012	2	D	Corliss, Jacob	15		1097	0	0	0	12
Virginia Beach Piranhas	2012	13	M	Cunningham, Brian	3		146			2	
Virginia Beach Piranhas	2012	20	M	Duffie, Ritchie	4		192				1
Virginia Beach Piranhas	2012	7	M	Etonyeaku, Ikechukwu	4		102			1	1
Virginia Beach Piranhas	2012	8	F	Floyd, Earl	13	6	1075	1	4	6	9
Virginia Beach Piranhas	2012	23	F	Gibson, Jerjer	6	6	428	3	0	5	2
Virginia Beach Piranhas	2012	19	F	Gunderson, James	9	3	691	1	1	4	8
Virginia Beach Piranhas	2012	21	D	Harrell, Michael	8		356	0	0	1	3
Virginia Beach Piranhas	2012	20	D	Harrison, Neil	1		16				
Virginia Beach Piranhas	2012	17	F	Hinte, Zach	11		389	0	0	1	2
Virginia Beach Piranhas	2012	5	D	Kulovic, Sven	14		1128	0	0	2	11
Virginia Beach Piranhas	2012	22		LeBlanc, Jordan	1		90			3	2
Virginia Beach Piranhas	2012	22	M	Mbang On, Patrice	12	3	1031	1	1	5	20
Virginia Beach Piranhas	2012	19	F	McKenzie, John	3		105	0	0	4	1
Virginia Beach Piranhas	2012	9	D	McVea, James T.	14	2	1260	1	0	6	10
Virginia Beach Piranhas	2012	20	M	Merkes, Cody	14		911	0	0	1	12
Virginia Beach Piranhas	2012	24	M	Miniaci, Michael	4		144	0	0	0	0
Virginia Beach Piranhas	2012	9	F	Nweke, Charles	11	10	936	4	2	17	15
Virginia Beach Piranhas	2012	0	GK	Nyepon, Manbi	1		90				
Virginia Beach Piranhas	2012	16	M	Pierce, Devin	11	6	896	3	0	11	6
Virginia Beach Piranhas	2012	17	M	Reis, Guilherme	1		90				1
Virginia Beach Piranhas	2012	2	M	Shihata, Zaher	3		175				4
Virginia Beach Piranhas	2012	3	D	Stallworthy, Ross	16		930	0	0	2	15
Virginia Beach Piranhas	2012	12	M	Washburn, Alexander	2		47				
Virginia Beach Piranhas	2012	15	M	Zamora, Luis	16	7	1125	2	3	10	10
West Virginia Chaos	2012	23	F	Arthur, Adam	8	3	644	1	1	20	3
West Virginia Chaos	2012	11	D	Bardon, Marco	2		180			1	1
West Virginia Chaos	2012	6	D	Bohach, Chris	2		180				1
West Virginia Chaos	2012	17	F	Brkic, Amar	13	3	642	1	1	20	2
West Virginia Chaos	2012	15	D	Brooksher, Jordan	1		81				1
West Virginia Chaos	2012	34	M	Brown, Cody	3		71			2	2
West Virginia Chaos	2012	8	D	Capstick, Thomas	7		508	0	0	0	1
West Virginia Chaos	2012	3	D	Claudio, Zachary	9		352	0	0	0	4
West Virginia Chaos	2012	5	F	Conelian, Gabriel	10	6	802	3	0	17	15
West Virginia Chaos	2012	4	D	Drake, Matt	7	1	630		1	1	6
West Virginia Chaos	2012	10	M	Fabian, Tyler	16	7	1231	3	1	16	14
West Virginia Chaos	2012	18	F	Filho, Ruy	9	4	462	2	0	11	10
West Virginia Chaos	2012	16	M	Fox, Adam	2		29				
West Virginia Chaos	2012	18	D	Geiselhart, Michael	1		90			1	1
West Virginia Chaos	2012	13	F	Glanzer, Adam	9		203	0	0	1	1
West Virginia Chaos	2012	12	D	Grable, Stuart	15		1258	0	0	4	4
West Virginia Chaos	2012	15	GK	Grassie, Chris	2		99	0	0	0	0
West Virginia Chaos	2012	20	M	Howard, Brycen	15	2	1163	0	2	6	7
West Virginia Chaos	2012	19	F	Isberner, Richard	7		614			16	1
West Virginia Chaos	2012	7	D	Ivanovic, Predrag	12	1	1054	0	1	4	10
West Virginia Chaos	2012	11	D	Ngobidi, Marshall	10		703	0	0	1	8
West Virginia Chaos	2012	14	F	Odgaard, Max	4		157			2	1
West Virginia Chaos	2012	21	D	Oliverio, Nick	4		272				1
West Virginia Chaos	2012	9	F	Peters, Dion	13	15	1091	7	1	45	11
West Virginia Chaos	2012	6	M	Phillips, Carter	2		29				1
West Virginia Chaos	2012	23	F	Prugh, Eddy	8	2	233	1		13	4
West Virginia Chaos	2012	0	GK	Reymond, Brady	1		90				
West Virginia Chaos	2012	1	GK	Rusling, Tom	13		1124	0	0	0	1
West Virginia Chaos	2012	13	D	Schmitt, Nathan	6		85	0	0	2	2
West Virginia Chaos	2012	1	F	Schmitt, Michael	4		59	0	0	0	0
West Virginia Chaos	2012	8	M	Stratford, Daniel	11	6	985	3	0	19	11
Austin Aztex	2012	13	D	Alcala, Joshua	11	1	348	0	1	3	3
Austin Aztex	2012	4	D	Boullt, Matthew	13	2	1029	0	2	7	10
Austin Aztex	2012	11	M	Caicedo, Luis Ronald	4		192			4	2
Austin Aztex	2012	21	D	Cameron, Lorne	1		68	0	0	0	0
Austin Aztex	2012	1	GK	Cook, Devin	8		620	0	0	0	0
Austin Aztex	2012	15	M	Cortes, Jesus	13	14	826	4	6	17	12
Austin Aztex	2012	23	D	Cruz, Juan	1		60			2	2
Austin Aztex	2012		D	Curtis, Wesley	1		32				1
Austin Aztex	2012	29	D	Elder, James	8		427	0	0	0	5
Austin Aztex	2012	32	F	Emerson, Kyle	1		45				
Austin Aztex	2012	25	D	Farmer, Chesley	2		110	0	0	0	0
Austin Aztex	2012	22	M	Franz, Justin	2		64	0	0	0	2
Austin Aztex	2012	27	M	Garcia, Zachary	8	1	630	0	1	2	13
Austin Aztex	2012	24	D	Golden, Travis	13		1018	0	0	5	7
Austin Aztex	2012	23	M	Kafari, Michael	2		45			1	3
Austin Aztex	2012	33	GK	Kaschak, John	2		70				
Austin Aztex	2012	31	D	Kelly, Ross	14	2	1260	1	0	4	12
Austin Aztex	2012	30	D	Kromholz, Walter	1		90				1
Austin Aztex	2012	1	GK	Lisch, Michael	4		350	0	0	0	0
Austin Aztex	2012	6	D	Luedtke, Robert	6		114				
Austin Aztex	2012	28	M	Manneh, Kekuta	12	20	840	10	0	34	14
Austin Aztex	2012	12	M	Martin, James	15	2	919	0	2	9	14
Austin Aztex	2012	20	D	Miele, Nicholas	2		190				
Austin Aztex	2012		GK	Mikulewicz, Josh	4		340	0	0	0	0
Austin Aztex	2012	14	F	Morse, William	15	8	842	4	0	22	12
Austin Aztex	2012	26	D	Papandrea, Norberto	1	2	60	1			
Austin Aztex	2012	10	M	Pereira, Pedro	10	4	325	2	0	8	13
Austin Aztex	2012	2	D	Pope, Zack	15	2	1060	0	2	3	11
Austin Aztex	2012	9	M	Powell, Jacob	3		71	0	0	1	0
Austin Aztex	2012	5	M	Powers, Dillon	2		123			2	6
Austin Aztex	2012	18	M	Riley, Callum	11	6	327	2	2	8	2
Austin Aztex	2012	16	M	Rocha, Tony	7	6	400	3	0	10	7
Austin Aztex	2012	7	M	Rockers, Kendall	6		155	0	0	4	1
Austin Aztex	2012	8	M	Sanchez, Jesus	6	1	254		1	4	2
Austin Aztex	2012	20	F	Shelton, Khiry	5	5	341	2	1	11	1
Austin Aztex	2012	22	F	Smith, Blake	2	1	126	0	1	2	0
Austin Aztex	2012	19	M	Tyrpak, Kristopher	13	23	1043	10	3	31	16
Austin Aztex	2012	27	M	Wright, Jordan	1		30				
El Paso Patriots	2012	22	M	Abraham, Nasser	1		22			2	
El Paso Patriots	2012	13	F	Aizawa, Naoyas	15	10	1209	3	4	31	11
El Paso Patriots	2012	14	F	Arrieta, Mario	11	2	446	1	0	4	5
El Paso Patriots	2012	9	F	Bolivar, Ernesto	8	6	201	3	0	3	3
El Paso Patriots	2012	17	M	Campos, Daniel	9	1	758	0	1	9	3
El Paso Patriots	2012	7	M	Cervantes, Enrique	14	9	1192	3	3	8	12
El Paso Patriots	2012	9	M	Chavez, Ariel	7		343	0	0	1	5
El Paso Patriots	2012	16	M	Cisneros, Eduardo	2		118	0	0	1	1
El Paso Patriots	2012	13	M	De Anda, Francisco	11	2	462	1	0	3	6
El Paso Patriots	2012	29	D	Duarte, Jorge Armando	9		533	0	0	1	6
El Paso Patriots	2012	19	F	Griego, Michael	14	19	1053	9	1	39	13
El Paso Patriots	2012	2	D	Hernandez, Noel	6		531	0	0	1	7
El Paso Patriots	2012	3	M	Hernandez, Eric	5		103	0	0	1	0
El Paso Patriots	2012	6	D	Landa, Christian	16		1176	0	0	2	6
El Paso Patriots	2012	0	GK	Lane, Javier	6		540				
El Paso Patriots	2012	19	M	Mendoza, Edgar	7		438	0	0	4	4
El Paso Patriots	2012	0	GK	Meza, Ivan	1		73	0	0	0	0
El Paso Patriots	2012	12	D	Moreno, Adrian	16		1419	0	0	2	12
El Paso Patriots	2012	27	D	Ontiveros, Joshua	3		72	0	0	0	0
El Paso Patriots	2012	4	M	Phillips, Casey	13		622	0	0	3	8
El Paso Patriots	2012	8	F	Rey, Mark	5		96	0	0	0	0
El Paso Patriots	2012	0	GK	Rey, Agustin	2		150	0	0	0	0
El Paso Patriots	2012	18	D	Robledo, Lawrence	4		101			0	0
El Paso Patriots	2012	24	D	Rodriguez, Pablo	9		659	0	0	0	6
El Paso Patriots	2012	1	GK	Rodriguez, Victor	9		780	0	0	0	2
El Paso Patriots	2012	18	F	Salas, Guillermo	11	1	846	0	1	16	19
El Paso Patriots	2012	23	D	Vazquez, Benjamin	8		690	0	0	1	10
El Paso Patriots	2012	11	M	Villasenor, Sergio	15	12	1161	5	2	24	16
Laredo Heat	2012	8	D	Anoruo, Walter	4		99	0	0	0	2
Laredo Heat	2012	27	D	Botero, Camilo	9		388	0	0	0	6
Laredo Heat	2012	4	M	Buduri, Placide	9		492	0	0	9	3
Laredo Heat	2012	12	GK	Cisneros, Jesus	2		104	0	0	0	0
Laredo Heat	2012	24	M	De La Vega, Luis	16	3	1275	1	1	17	19
Laredo Heat	2012	1	GK	Frias, Emmanuel	15		1336	0	0	0	1
Laredo Heat	2012	22	M	Galvan Barbosa, Daniel	10	1	319	0	1	4	6
Laredo Heat	2012		M	Garza, Fernando	1		22				
Laredo Heat	2012	17	F	Garza, Daniel	10	12	680	6	0	20	8
Laredo Heat	2012	14	F	Gonzalez, Jose	4		124			1	3
Laredo Heat	2012	3	D	Guerrero, Cesar	1		4				
Laredo Heat	2012	16	D	Gunderson, Max	16	2	1351	0	2	4	3
Laredo Heat	2012		M	Huitron, Ivanne	2		120			1	
Laredo Heat	2012	10	M	Ibarra-Trevino, Juan de Dios	16	25	1313	11	3	30	9
Laredo Heat	2012	13	F	Leal, Horacio	14	8	761	3	2	21	9
Laredo Heat	2012	19	D	Lopez, Omar	13	2	962	1	0	4	3
Laredo Heat	2012	15	D	Lozoya, Juan	8		162	0	0	0	2
Laredo Heat	2012	2	D	Mejia, Ricardo	2		11	0	0	1	1
Laredo Heat	2012	6	D	Moreno, Martin	16		1430	0	0	8	8
Laredo Heat	2012	11	M	Mulamba, Gregory	13		1135	0	0	10	14
Laredo Heat	2012	26	M	Muniz, Gabriel	9		293	0	0	0	10
Laredo Heat	2012	23	F	Nava, Juan	12	8	380	3	2	11	12
Laredo Heat	2012	7	D	Ordaz, Carlos	16		1405	0	0	0	4
Laredo Heat	2012	21	M	Serrato, Ernesto	2	3	112	1	1	4	4
Laredo Heat	2012		F	Tristan, Hilario	1		14				
Laredo Heat	2012	18	M	Vallejo-Medina, Hector	3	4	254	1	2	4	2
Laredo Heat	2012	9	F	Villanueva, Irving	14	9	954	4	1	20	7
Laredo Heat	2012	5	D	Villavicencio, Adan	4		351	0	0	1	5
New Orleans Jesters	2012	3	D	Avila, Anyelo	6		302	0	0	0	5
New Orleans Jesters	2012	1	GK	Colman, Dominic	2		180	0	0	0	1
New Orleans Jesters	2012	6	D	Cotton, Ryan	13		1027	0	0	2	12
New Orleans Jesters	2012	22	M	Cruz, Caio	12	3	570	1	1	13	7
New Orleans Jesters	2012	20	M	Davids, Yazeed	13	2	612	1	0	7	9
New Orleans Jesters	2012	2	D	Davies, Craig	8	4	617	2		5	6
New Orleans Jesters	2012	9	M	Davies, Craig	5		168	0	0	3	0
New Orleans Jesters	2012	1	GK	Eavenson, Patrick	12		1080	0	0	0	0
New Orleans Jesters	2012	26	D	Feigler, Matthew	1		1	0	0	0	0
New Orleans Jesters	2012	10	M	Hewitt-Fisher, Oliver	9	4	743	2	0	4	7
New Orleans Jesters	2012	11	M	Hurrell, Sam	14	5	1260	2	1	15	11
New Orleans Jesters	2012	23	D	Judice, Anthony	15	5	1241	2	1	11	10
New Orleans Jesters	2012	9	F	Marfo, Martin	9	2	280	1	0	5	5
New Orleans Jesters	2012	3	M	Mosime, Keletso	13	2	787	1	0	4	7
New Orleans Jesters	2012	15	F	Mullins, Patrick	12	15	976	7	1	36	7
New Orleans Jesters	2012	13	D	Price, Ralph	2		180				1
New Orleans Jesters	2012	9	F	Reid, Ryan	3		143			3	3
New Orleans Jesters	2012	7	M	Serafim, Renan	15	4	504	1	2	13	5
New Orleans Jesters	2012	30	D	Steigerwald, Vincent	9		810	0	0	0	6
New Orleans Jesters	2012	19	D	Toras, adamandios	5		307				4
New Orleans Jesters	2012	2	D	Tyler, Brandon	11		904	0	0	2	12
New Orleans Jesters	2012	24	M	Valladares, Luis	7	1	260		1	1	2
New Orleans Jesters	2012	4	D	Williams, Chris	1		90			1	1
New Orleans Jesters	2012	18	F	Yamson, Emmanuel	15	14	1101	5	4	31	8
New Orleans Jesters	2012	13	F	Zapata, Orlando	2		3	0	0	0	0
West Texas United Sockers	2012	6	M	Anchondo, Jose	5	4	136	2	0	2	1
West Texas United Sockers	2012	15	M	Arriaga, Andrew	2		15	0	0	0	1
West Texas United Sockers	2012	13	D	Burke, James	4		181	0	0	0	2
West Texas United Sockers	2012	4	M	Bush, Christopher	3		141	0	0	0	4
West Texas United Sockers	2012	0	GK	Clark, Ray	5		360	0	0	0	0
West Texas United Sockers	2012	14	D	Duvcevski, James	13		974	0	0	2	12
West Texas United Sockers	2012	19	F	Eligwe, VcMor	10	3	397	1	1	8	5
West Texas United Sockers	2012	22	D	Franco, Raul	2		152	0	0	0	1
West Texas United Sockers	2012	15	F	Freeland, David	14	4	1117	2	0	18	4
West Texas United Sockers	2012	20	M	Garcia, Lukas	15		800	0	0	3	3
West Texas United Sockers	2012	3	F	Guillen, Ulises	6	2	108	1	0	2	2
West Texas United Sockers	2012	11	M	Herbert, Kal	16	7	1322	2	3	12	7
West Texas United Sockers	2012	1	GK	Jimenez, Alonso	14		1082	0	0	2	0
West Texas United Sockers	2012	4	D	Kamali, David	4		196	0	0	0	2
West Texas United Sockers	2012	12	M	Malolonado-Karo, Andres	5		400	0	0	1	0
West Texas United Sockers	2012	13	D	Miramontes, Isaias	7		219	0	0	2	8
West Texas United Sockers	2012	21	D	Moeller, Anders	8	1	711	0	1	1	7
West Texas United Sockers	2012	18	F	Munoz, Jose	13	6	1077	3	0	10	15
West Texas United Sockers	2012	16	M	Musambi, Joel	11	3	590	1	1	4	6
West Texas United Sockers	2012	19	M	Power, Andrew	13	7	1035	3	1	12	26
West Texas United Sockers	2012	5	D	Rios, Sergio	14		1058	0	0	2	8
West Texas United Sockers	2012	12	F	Ruiz, Sabas	2		11	0	0	0	0
West Texas United Sockers	2012	13	D	Salcido-Hernandez, Juan	8	3	444	1	1	4	11
West Texas United Sockers	2012	8	F	Sapien, Mariano	15	1	695	0	1	7	10
West Texas United Sockers	2012	9	M	Sharp, Shelby	2		133	0	0	0	1
West Texas United Sockers	2012	10	M	Smith III, Leonard	4	4	245	2	0	4	4
West Texas United Sockers	2012	2	D	Stewart, Michael	12		727	0	0	1	2
West Texas United Sockers	2012	17	D	Tarango, Tyler	15		1314	0	0	3	13
West Texas United Sockers	2012	7	D	Valdivia, Oswaldo	5		241	0	0	0	1
FC Jax Destroyers	2012	23	D	Bedoya, Fernando	4		197				6
FC Jax Destroyers	2012	32	GK	Bertele, Federico	2		180				
FC Jax Destroyers	2012	14	D	Black, Adam	14	11	1160	4	3	23	16
FC Jax Destroyers	2012	33	F	Brunelli, Andre	5	3	145	1	1	2	3
FC Jax Destroyers	2012	6	D	Cutrofello, Dominic	15	2	1287	1		3	6
FC Jax Destroyers	2012	7	D	Donald, Michael	11	4	990	2		5	5
FC Jax Destroyers	2012	10	M	Fairhurst, Samuel	9	3	804	1	1	5	13
FC Jax Destroyers	2012	37	D	Glodack, Mathew	5		448			1	5
FC Jax Destroyers	2012	5	D	Heseltine, Joshua	12		882				11
FC Jax Destroyers	2012	17	M	Jackson, Daniel	16	4	1162	1	2	10	9
FC Jax Destroyers	2012	11	D	MacDonald, Alexander	9	1	810		1	4	8
FC Jax Destroyers	2012	35	F	Maloney, Ryan	5		304			2	4
FC Jax Destroyers	2012	25	D	May, Nicholas	4		271				1
FC Jax Destroyers	2012	8	M	McPike, Mitchell	10	5	835	2	1	8	21
FC Jax Destroyers	2012	13	GK	Murphy, Andrew	12		1080				
FC Jax Destroyers	2012	4	D	Norburg, Erik	6		482			1	3
FC Jax Destroyers	2012	20	F	Nyonebue, Tornubari	10	5	591	2	1	8	17
FC Jax Destroyers	2012	15	M	Rados, Alexander	4		128				2
FC Jax Destroyers	2012	8	D	Ragazzo, Leo	1		28				
FC Jax Destroyers	2012	16	F	Salawu, Rilwan	15	4	885	2		11	15
FC Jax Destroyers	2012	1	GK	Schnabl, Andreas	3		270				
FC Jax Destroyers	2012	18	M	Scrivens, Steven	8	2	576	1		7	5
FC Jax Destroyers	2012	34	M	Selman, Arnel	6		424			2	2
